Id,SalePrice
1461,118353.41
1462,161404.03
1463,191136.72
1464,199057.69
1465,194399.11
1466,176878.86
1467,181534.08
1468,167116.06
1469,187061.77
1470,130722.336
1471,198446.72
1472,96358.24
1473,95205.49
1474,154904.72
1475,126508.75
1476,395962.94
1477,263562.25
1478,291295.2
1479,246366.9
1480,499782.16
1481,322023.66
1482,209500.86
1483,162144.47
1484,165741.42
1485,191346.06
1486,188562.27
1487,345408.72
1488,226999.08
1489,203652.33
1490,209817.05
1491,191641.53
1492,85360.63
1493,190257.69
1494,305454.0
1495,302352.22
1496,224160.9
1497,183696.84
1498,163961.39
1499,161138.27
1500,157101.45
1501,179204.53
1502,143666.77
1503,321016.12
1504,239022.47
1505,228940.12
1506,178171.98
1507,259641.06
1508,198575.19
1509,159089.47
1510,151607.77
1511,145038.75
1512,168392.45
1513,143896.45
1514,191734.06
1515,216985.1
1516,156539.39
1517,165416.48
1518,130605.06
1519,222716.47
1520,135253.88
1521,128463.45
1522,174763.31
1523,109118.85
1524,121358.17
1525,120681.4
1526,121915.625
1527,102326.83
1528,139057.84
1529,151661.89
1530,178687.14
1531,104171.6
1532,101099.086
1533,141500.78
1534,123891.08
1535,152529.16
1536,105169.54
1537,71882.35
1538,180804.92
1539,200187.66
1540,102541.12
1541,146714.83
1542,138844.17
1543,225229.89
1544,77550.73
1545,114534.86
1546,135722.08
1547,130740.375
1548,147326.45
1549,123409.73
1550,148786.34
1551,124349.78
1552,162644.72
1553,165963.55
1554,115688.45
1555,165931.44
1556,81624.42
1557,110442.45
1558,94919.79
1559,90632.25
1560,132425.28
1561,134485.9
1562,129015.22
1563,125292.71
1564,161951.55
1565,146143.48
1566,240032.25
1567,68565.445
1568,219974.42
1569,143550.3
1570,131260.88
1571,120251.1
1572,157729.12
1573,237803.19
1574,116315.375
1575,221148.5
1576,228593.95
1577,191960.56
1578,150671.19
1579,152015.2
1580,198256.88
1581,157679.52
1582,130026.164
1583,332232.12
1584,223451.56
1585,139607.2
1586,78270.1
1587,97527.76
1588,149767.28
1589,104392.49
1590,141076.3
1591,94430.58
1592,126800.91
1593,131022.88
1594,178402.52
1595,114792.65
1596,237362.67
1597,182602.53
1598,220226.84
1599,176188.52
1600,176203.61
1601,73458.78
1602,111733.93
1603,83889.875
1604,268519.62
1605,235278.38
1606,172818.77
1607,163209.92
1608,214465.69
1609,194969.55
1610,150028.9
1611,135132.88
1612,158175.02
1613,161140.1
1614,124953.4
1615,96231.95
1616,64664.94
1617,93598.34
1618,123354.3
1619,144046.52
1620,172272.69
1621,136133.38
1622,145286.52
1623,287218.66
1624,216851.14
1625,129620.61
1626,163774.36
1627,186087.36
1628,276123.66
1629,187745.94
1630,427449.88
1631,238498.33
1632,258925.36
1633,179096.48
1634,188793.34
1635,180346.12
1636,156963.62
1637,201399.12
1638,205528.55
1639,178567.66
1640,262657.72
1641,176907.03
1642,214178.27
1643,211241.72
1644,217051.17
1645,198064.78
1646,158097.66
1647,159371.42
1648,128044.71
1649,134163.36
1650,124349.89
1651,127771.086
1652,94237.01
1653,94203.46
1654,148632.61
1655,148281.47
1656,148994.69
1657,151621.12
1658,145323.23
1659,136827.31
1660,154005.14
1661,446150.8
1662,407287.6
1663,411790.34
1664,459158.62
1665,324226.22
1666,302001.4
1667,355015.06
1668,334376.34
1669,290727.88
1670,349247.62
1671,269703.75
1672,529916.3
1673,292628.34
1674,240782.52
1675,185004.22
1676,189512.81
1677,222301.72
1678,494619.8
1679,360581.0
1680,342535.9
1681,260466.33
1682,278165.06
1683,174743.42
1684,164790.34
1685,168060.9
1686,165081.34
1687,168896.25
1688,185010.25
1689,190435.61
1690,189938.0
1691,178615.98
1692,271698.72
1693,176520.19
1694,185867.7
1695,174277.58
1696,281844.97
1697,184073.17
1698,382582.94
1699,352297.97
1700,246919.23
1701,267870.16
1702,235232.02
1703,241629.69
1704,298010.22
1705,233846.34
1706,478439.03
1707,216101.05
1708,209345.66
1709,303452.47
1710,221221.64
1711,234742.42
1712,250424.86
1713,254300.9
1714,217472.7
1715,209351.67
1716,196563.38
1717,183033.34
1718,132094.97
1719,188112.28
1720,245802.36
1721,168748.97
1722,128648.97
1723,149404.77
1724,226017.33
1725,238051.9
1726,189439.27
1727,148918.27
1728,167458.02
1729,165737.23
1730,167971.67
1731,123333.96
1732,136783.33
1733,115349.34
1734,111542.04
1735,131351.66
1736,115319.83
1737,368297.16
1738,212654.45
1739,286189.06
1740,232589.28
1741,203982.2
1742,172523.3
1743,173795.19
1744,316857.6
1745,240923.78
1746,245394.06
1747,223909.98
1748,217910.72
1749,146765.23
1750,133628.58
1751,235673.14
1752,119852.24
1753,151862.11
1754,207931.5
1755,175349.31
1756,139373.38
1757,124777.695
1758,141696.58
1759,161342.27
1760,163794.1
1761,151622.9
1762,190882.7
1763,173255.7
1764,114030.65
1765,182213.23
1766,174583.03
1767,211258.7
1768,147982.17
1769,183154.08
1770,146954.83
1771,129708.2
1772,135545.48
1773,126706.67
1774,112418.3
1775,143277.9
1776,125577.79
1777,115984.99
1778,134936.53
1779,122781.56
1780,174607.14
1781,127291.28
1782,96738.26
1783,134028.66
1784,110177.03
1785,116794.16
1786,171234.34
1787,171815.8
1788,55983.87
1789,97735.87
1790,67354.27
1791,194936.23
1792,158540.94
1793,132786.45
1794,156074.53
1795,133187.38
1796,118914.195
1797,117531.516
1798,127389.08
1799,114586.94
1800,147594.31
1801,132699.64
1802,138862.2
1803,146623.06
1804,141061.4
1805,140761.75
1806,115207.37
1807,139200.12
1808,133172.23
1809,123471.13
1810,149471.45
1811,97311.63
1812,96169.74
1813,122312.34
1814,99283.14
1815,50429.223
1816,92195.89
1817,109594.03
1818,148765.83
1819,117551.52
1820,60674.355
1821,97734.43
1822,146949.56
1823,49750.31
1824,141050.77
1825,146453.72
1826,100435.85
1827,102263.02
1828,149417.53
1829,122775.39
1830,141162.02
1831,168264.16
1832,77552.836
1833,152682.7
1834,118904.586
1835,137906.14
1836,132351.95
1837,85999.58
1838,119479.74
1839,90524.195
1840,162953.56
1841,152491.58
1842,79231.25
1843,138490.58
1844,138781.97
1845,139838.48
1846,161664.94
1847,169862.14
1848,59144.117
1849,128759.89
1850,117786.13
1851,153174.36
1852,129759.86
1853,125068.125
1854,174381.33
1855,153750.17
1856,217290.14
1857,162156.31
1858,131228.03
1859,119482.16
1860,144552.75
1861,119482.16
1862,329495.12
1863,320079.56
1864,325129.38
1865,317394.44
1866,333247.97
1867,257166.92
1868,305576.78
1869,200586.31
1870,244148.86
1871,238246.55
1872,169258.8
1873,235228.8
1874,145966.92
1875,208515.39
1876,195249.58
1877,210048.83
1878,212067.84
1879,136255.58
1880,136303.42
1881,219620.72
1882,258423.92
1883,187586.98
1884,202798.25
1885,254364.81
1886,290231.38
1887,214740.78
1888,285960.6
1889,156368.02
1890,125803.61
